1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 12 11
15 14 13
17 15 13
19 17 15
21 18 16
23 20 18
25 22 20
28 25 23
31 26 22
35 29 25
39 31 25
43 31 22
48 32 21
53 35 23
59 36 22
65 39 25
72 41 26
80 41 23
88 42 23
97 42 22
107 42 19
118 42 18
130 42 18
143 42 18
158 42 17
174 42 16
192 42 16
212 42 16
234 42 16
258 42 16
284 42 16
305 47 21
312 52 25
320 58 31
327 64 36
339 71 41
348 79 48
357 87 55
371 96 61
395 106 62
416 117 71
434 129 82
460 142 92
494 157 100
521 173 114
564 191 129
616 211 141
668 233 155
721 257 173
783 283 192
848 312 211
933 340 227
998 375 255
1094 413 285
1204 452 313
1307 498 354
1438 538 382
1582 585 420
1741 629 445
1916 663 462
2108 716 495
2319 782 551
2551 845 591
2807 906 620
3088 993 680
3397 1079 736
3737 1148 767
4111 1218 802
4523 1299 847
4976 1387 891
5474 1479 931
6022 1556 956
6625 1674 1019
7288 1789 1077
8017 1933 1162
8819 2086 1257
9701 2194 1312
10672 2277 1335
11740 2377 1381
12915 2586 1511
14207 2805 1650
15628 3029 1764
17191 3210 1854
18911 3474 2011
20803 3702 2152
22884 3930 2235
25173 4180 2345
27691 4388 2425
30461 4704 2569
33508 4895 2606
36859 5111 2669
40545 5419 2805
44600 5690 2891
49061 5955 3016
53968 6220 3106
59365 6534 3221
65302 6768 3295
71833 7038 3365
79017 7345 3467
86919 7616 3536
95493 7981 3682
