1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 15 15
17 17 17
19 19 19
21 20 19
23 22 21
26 24 22
29 26 23
32 29 26
36 32 28
40 33 26
44 34 25
49 36 25
54 36 25
60 36 23
66 36 23
73 36 23
81 36 23
90 36 23
100 36 23
111 38 25
122 42 29
128 47 33
138 52 36
146 58 41
154 64 47
163 71 52
173 79 58
187 87 64
203 96 71
219 106 80
239 117 89
257 129 98
283 141 107
312 153 111
344 167 119
378 184 134
416 203 147
458 224 165
504 242 170
555 263 185
605 290 208
666 311 223
733 336 245
807 368 272
888 395 291
977 425 309
1073 468 345
1181 505 372
1300 537 386
1431 580 416
1575 622 444
1733 669 476
1907 718 495
2098 773 525
2308 844 573
2539 905 611
2793 962 639
3073 1044 699
3381 1113 739
3720 1181 770
4093 1253 805
4503 1338 855
4954 1429 905
5450 1558 987
5996 1706 1098
6596 1839 1178
7256 1950 1224
7982 2086 1296
8781 2250 1399
9660 2400 1490
10626 2599 1613
11689 2778 1714
12858 2938 1791
14144 3096 1882
15559 3298 1977
17115 3500 2043
18827 3706 2124
20710 3902 2211
22782 4100 2290
25061 4381 2425
27568 4637 2531
30325 4871 2610
33358 5154 2746
36694 5425 2837
40364 5702 2941
44401 5967 3021
48842 6294 3164
53727 6714 3357
59100 7184 3532
65011 7573 3666
71513 7995 3824
78665 8428 3983
86532 8889 4136
95186 9320 4305
104705 9810 4485
115176 10329 4657
126694 10888 4885
139364 11403 5033
153301 12017 5237
168632 12619 5428
185496 13261 5674
204046 13946 5905
224451 14568 6069
246897 15200 6299
271587 15912 6511
298746 16706 6778
328621 17470 7046
361484 18344 7328
397633 19116 7558
437397 19875 7734
481137 20608 7903
519886 21417 8067
