1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 10 9
12 11 10
14 13 12
16 15 14
18 16 15
20 17 15
22 19 17
24 21 19
27 24 22
30 26 23
33 28 25
36 31 28
40 32 27
44 33 26
49 36 29
54 40 32
59 44 35
65 46 37
72 50 41
79 56 46
87 60 49
96 64 52
103 71 59
114 75 63
126 82 69
139 90 76
151 100 86
167 107 90
184 116 96
203 127 106
224 138 114
246 152 127
267 168 142
294 185 154
324 195 159
357 212 169
393 227 180
433 247 196
477 266 206
523 293 227
576 320 244
634 345 265
698 371 284
768 393 298
845 430 328
930 468 360
1024 505 390
1127 540 420
1240 585 453
1364 627 481
1501 679 518
1652 734 552
1818 797 599
2000 845 621
2200 895 648
2370 985 728
2533 1084 810
2787 1149 836
3066 1228 874
3373 1311 924
3711 1396 968
4083 1497 1037
4492 1606 1114
4942 1693 1166
5437 1785 1210
5981 1884 1268
6580 2006 1333
7239 2126 1394
7963 2243 1460
8760 2327 1482
9636 2451 1543
10600 2565 1600
11661 2718 1674
12828 2912 1775
14111 3099 1859
15523 3261 1930
17076 3427 1994
18784 3642 2082
20663 3911 2248
22730 4150 2370
25004 4424 2502
27505 4702 2639
30256 5026 2789
33282 5317 2893
36611 5569 2954
40273 5826 3057
44301 6082 3107
48732 6358 3229
53606 6591 3290
58967 6860 3345
64864 7210 3459
71351 7485 3523
78487 7825 3647
86336 8171 3700
92558 8375 3736
