1 7395
2 3651
3 2605
4 2295
5 1925
6 1646
7 1122
8 1011
9 968
10 903
11 896
12 791
13 723
14 627
15 620
16 604
17 579
18 563
19 561
20 553
21 533
22 524
23 519
24 513
25 499
26 497
27 483
28 460
29 450
30 432
31 412
32 391
33 383
34 367
35 365
36 356
37 354
38 352
39 346
40 338
41 332
42 328
43 326
44 304
46 291
47 278
48 267
49 266
50 259
51 257
52 255
53 228
54 221
55 210
58 205
60 194
61 193
62 190
63 188
64 181
65 180
66 174
68 171
69 170
70 167
71 166
72 161
75 152
76 151
77 150
80 147
82 143
83 142
84 139
85 137
86 135
89 131
90 129
92 126
95 124
96 123
97 120
99 119
100 117
101 116
103 115
104 114
105 113
108 112
110 111
111 110
114 109
115 106
117 105
118 104
119 103
120 102
122 100
123 96
124 95
125 93
127 92
131 91
133 87
136 86
137 85
140 83
142 82
145 81
146 80
148 78
149 77
151 76
155 75
158 74
162 71
163 70
165 69
168 68
171 67
174 66
176 65
181 64
184 62
187 61
190 60
194 59
197 58
200 57
204 56
208 55
210 54
212 53
215 52
218 51
219 50
226 49
229 48
232 47
233 46
240 45
248 44
256 43
267 42
273 41
284 40
288 39
291 38
304 37
315 36
327 35
336 34
343 33
360 32
370 31
374 30
381 29
398 28
409 27
423 26
435 25
451 24
483 23
503 22
534 21
557 20
577 19
603 18
639 17
685 16
723 15
770 14
817 13
884 12
970 11
1069 10
1174 9
1316 8
1481 7
1729 6
2052 5
2506 4
3212 3
4639 2
8375 1
