1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 14 13
17 16 15
19 17 16
21 19 18
24 21 20
27 23 22
30 24 21
33 26 22
36 29 25
39 32 28
43 35 30
47 39 34
52 42 36
58 46 39
64 49 42
70 54 46
77 60 51
85 65 54
94 72 60
104 79 67
115 84 69
127 93 77
140 99 79
154 105 82
170 112 86
188 121 93
207 130 99
228 142 110
251 151 115
277 160 120
304 176 132
335 193 145
369 205 155
406 220 166
447 236 175
492 253 188
542 272 198
597 288 205
657 314 222
723 341 244
796 360 251
876 391 271
964 419 286
1061 455 314
1160 501 349
1276 541 379
1404 576 400
1545 608 412
1700 648 438
1871 685 454
2059 738 485
2265 792 523
2492 854 567
2742 923 610
3017 982 640
3319 1061 688
3651 1126 715
4017 1201 762
4419 1285 816
4861 1351 843
5348 1433 870
5883 1520 918
6472 1616 974
7120 1742 1052
7833 1860 1117
8617 1958 1158
9479 2066 1215
10427 2204 1280
11470 2317 1334
12618 2477 1415
13880 2603 1454
15269 2753 1519
16796 2916 1587
18476 3120 1687
20324 3305 1749
22357 3482 1808
24593 3626 1847
27053 3831 1920
29759 4031 2004
32735 4248 2091
36009 4496 2188
39610 4744 2283
43571 4971 2350
47929 5313 2482
52722 5507 2508
57995 5838 2648
63795 6228 2798
70175 6710 3023
77193 7018 3118
84913 7251 3139
93405 7644 3266
102746 7969 3330
104909 8099 3396
