11251 1
6756 1
5143 1
4486 1
3442 1
2661 1
1548 1
1404 1
1383 1
1353 1
1293 1
1280 1
1278 1
1040 1
1018 1
994 1
948 1
942 1
938 1
916 1
850 1
830 1
824 1
768 1
755 1
732 1
690 1
661 1
648 1
639 1
619 1
577 1
565 1
514 1
495 1
477 1
469 1
440 1
428 1
425 1
406 1
402 1
397 1
389 1
386 1
382 1
374 1
363 1
347 1
344 1
326 1
324 1
299 2
295 1
288 1
286 1
268 1
262 1
256 1
255 2
248 2
245 1
240 1
239 1
238 1
233 1
232 1
229 1
226 1
224 1
221 1
220 2
219 1
218 1
217 1
216 2
215 3
213 2
209 1
208 1
207 1
196 3
195 1
193 1
192 2
185 1
180 2
177 2
175 1
174 1
170 1
169 1
168 1
167 1
165 2
164 1
161 1
160 1
157 1
154 2
153 1
150 1
149 1
147 1
145 1
144 1
143 2
142 2
141 2
140 3
138 2
137 1
136 1
134 1
133 1
132 4
131 1
130 2
126 1
125 1
122 1
121 2
120 1
119 2
117 2
116 2
115 1
114 1
111 1
110 2
108 5
107 2
106 1
105 1
104 2
103 1
101 2
100 1
99 5
98 4
97 1
96 1
93 2
92 1
89 1
88 1
87 3
86 4
85 2
84 2
83 1
82 7
81 1
80 1
79 2
78 2
77 1
76 2
75 3
74 1
73 5
72 1
71 2
70 1
69 3
68 3
67 7
66 4
65 5
64 6
63 2
62 2
61 2
60 6
59 8
58 6
57 3
56 10
55 7
54 5
53 2
52 1
51 3
50 12
49 7
48 10
47 4
46 7
45 5
44 10
43 12
42 6
41 11
40 7
39 9
38 14
37 9
36 17
35 13
34 11
33 14
32 14
31 14
30 19
29 25
28 18
27 19
26 19
25 27
24 30
23 23
22 39
21 36
20 41
19 38
18 58
17 53
16 55
15 59
14 78
13 85
12 124
11 113
10 143
9 148
8 191
7 273
6 298
5 397
4 620
3 938
2 1639
1 4669
