1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 7 6
9 8 7
10 9 8
11 10 9
12 11 10
14 13 12
16 15 14
18 17 16
20 19 18
22 21 20
25 24 23
28 26 24
31 28 25
34 31 28
38 34 30
42 37 33
46 41 37
51 46 42
57 50 44
63 55 49
70 58 48
77 63 52
85 68 56
92 75 63
102 83 71
113 91 78
125 98 83
138 105 86
152 112 92
168 123 101
185 132 106
204 144 117
225 151 120
248 163 129
273 172 136
301 184 140
331 203 156
365 214 158
402 232 175
443 248 186
488 266 200
537 289 217
591 309 235
651 328 247
717 358 272
789 386 289
868 413 307
955 439 324
1051 464 335
1157 503 360
1273 528 372
1401 565 388
1542 616 423
1697 676 470
1867 726 505
2054 782 542
2260 834 576
2486 888 600
2680 977 668
2949 1054 712
3244 1147 781
3569 1216 811
3926 1295 853
4319 1399 931
4751 1510 1008
5227 1649 1113
5750 1766 1195
6326 1882 1274
6959 2003 1332
7655 2109 1384
8421 2236 1449
9264 2372 1521
10191 2500 1590
11211 2655 1677
12333 2792 1738
13567 2927 1808
14924 3106 1915
16417 3416 2120
18059 3664 2273
19865 3845 2363
21852 4047 2435
24038 4273 2554
26442 4456 2628
29087 4689 2724
31996 4898 2825
35196 5140 2940
38716 5381 3041
42588 5764 3238
46847 6048 3374
51532 6392 3564
56686 6728 3722
62355 7134 3940
68591 7539 4139
75451 8000 4346
82997 8407 4518
91297 8922 4759
100427 9348 4916
110470 9796 5107
121518 10287 5322
133670 11026 5682
147037 11802 5997
161741 12527 6273
177916 13212 6536
195708 13807 6740
215279 14495 6991
236807 15310 7353
260488 16027 7640
286537 16847 8008
315191 17751 8341
346711 18651 8564
381383 19619 8851
419522 20851 9334
461475 22022 9708
507623 22879 9926
558386 23689 10145
614225 24888 10571
675648 25976 10951
743213 27449 11552
817535 28682 12022
835726 28930 12095
