8208 1
3832 1
2477 1
2475 1
2143 1
1968 1
1509 1
1315 1
1274 1
995 1
902 1
805 1
799 1
745 1
734 1
723 1
714 1
676 1
632 1
619 1
611 1
609 1
604 1
564 1
562 1
546 1
516 1
513 1
464 1
458 1
439 1
425 1
414 1
401 1
394 1
378 1
376 1
354 1
335 1
332 1
320 1
317 1
305 2
304 1
302 1
297 1
289 1
280 1
277 1
276 1
275 1
273 2
259 1
257 1
255 1
254 1
239 1
233 1
229 1
225 1
223 1
212 2
207 1
196 1
195 2
189 1
186 1
181 1
175 1
172 1
168 2
165 1
164 1
163 1
161 1
151 2
149 1
146 1
143 1
142 2
141 1
140 2
138 2
135 1
131 1
129 1
125 2
124 1
121 2
120 1
119 1
118 2
114 5
112 1
111 1
110 2
105 1
104 1
103 2
102 1
100 1
97 1
96 1
95 3
94 2
93 3
92 3
90 3
89 3
88 1
87 2
86 4
84 1
83 1
82 1
81 2
80 1
79 1
77 4
76 3
75 5
74 2
73 3
72 2
71 1
69 5
68 4
67 3
66 5
65 1
64 3
63 3
62 1
61 5
60 4
59 7
58 4
57 1
56 3
55 3
54 1
53 7
52 6
51 5
50 4
49 11
48 5
47 5
46 2
45 8
44 11
43 3
42 9
41 5
40 15
39 5
38 10
37 9
36 7
35 13
34 5
33 10
32 6
31 9
30 12
29 16
28 12
27 15
26 16
25 23
24 23
23 25
22 26
21 23
20 33
19 36
18 37
17 29
16 40
15 47
14 53
13 57
12 77
11 80
10 104
9 106
8 144
7 195
6 237
5 308
4 449
3 734
2 1301
1 3545
