7229 1
3893 1
3485 1
2862 1
2800 1
2577 1
2178 1
1942 1
1903 1
1431 1
1366 1
1361 1
1331 1
1108 1
1044 1
1032 1
1031 1
1022 1
1021 1
963 1
915 1
895 1
861 1
859 1
843 1
811 1
786 1
611 1
600 2
574 1
553 1
543 1
526 1
522 1
489 1
488 1
461 1
454 1
448 1
446 1
442 2
437 1
415 1
406 1
388 1
375 1
370 1
351 1
337 1
310 1
306 1
304 1
297 1
285 1
276 1
275 1
270 1
266 1
264 2
259 1
250 1
244 1
242 1
241 1
240 1
238 1
231 3
230 2
226 1
221 1
218 2
216 1
215 1
207 1
206 1
204 2
200 1
199 1
198 1
196 1
195 1
194 1
189 2
188 1
186 1
182 1
181 1
178 1
177 1
176 2
175 1
174 2
173 2
172 1
169 2
168 1
166 1
164 1
162 1
161 1
160 3
159 1
157 2
156 2
149 2
148 2
146 1
144 1
142 1
141 2
135 4
134 2
133 1
131 1
129 2
127 1
126 1
125 1
124 1
123 2
122 1
121 2
120 2
119 3
118 3
117 1
116 3
115 2
112 2
111 1
109 2
107 4
106 1
102 1
101 1
100 2
98 2
97 2
96 1
95 3
93 1
92 2
91 2
89 3
88 1
87 1
86 2
85 2
84 3
82 2
81 1
79 4
78 4
77 4
76 3
75 5
74 2
73 1
72 1
71 2
70 5
69 2
68 2
67 4
66 3
65 3
64 5
63 1
62 7
61 7
60 4
58 2
57 6
56 6
55 7
54 3
53 4
52 8
51 9
50 3
49 3
48 5
47 8
46 8
45 5
44 4
43 9
42 7
41 15
40 5
39 8
38 11
37 11
36 12
35 9
34 19
33 12
32 14
31 12
30 10
29 15
28 15
27 18
26 28
25 13
24 26
23 22
22 23
21 16
20 18
19 40
18 27
17 26
16 60
15 43
14 72
13 76
12 69
11 86
10 99
9 115
8 146
7 200
6 238
5 340
4 507
3 815
2 1613
1 4547
