1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 8 7
10 9 8
11 10 9
12 11 10
14 13 12
16 15 14
18 17 16
20 19 18
22 21 20
25 24 23
28 26 24
31 29 27
35 32 29
39 34 30
43 37 32
48 41 35
53 45 39
58 50 44
64 54 47
71 59 51
79 63 53
87 68 58
96 72 59
106 80 66
117 88 73
129 94 77
142 101 81
157 111 87
173 119 92
191 128 97
211 137 103
233 150 116
257 160 118
283 173 125
312 182 129
344 198 140
379 215 153
417 231 165
459 250 179
505 269 193
556 285 201
612 308 218
674 329 231
742 357 253
817 386 276
896 425 310
986 458 334
1085 483 341
1194 509 350
1314 540 362
1446 584 395
1591 612 407
1751 661 439
1927 716 477
2120 775 518
2332 822 549
2566 876 586
2823 948 636
3106 998 657
3417 1074 706
3759 1141 752
4135 1200 775
4549 1268 803
5004 1350 850
5505 1451 917
6056 1554 974
6662 1650 1032
7329 1767 1109
8062 1896 1189
8869 2035 1264
9756 2204 1380
10732 2365 1462
11806 2513 1539
12987 2649 1603
14286 2796 1680
15715 2969 1784
17287 3179 1893
19016 3381 2005
20918 3578 2107
23010 3723 2134
25312 3936 2238
27844 4136 2335
30629 4399 2451
33692 4650 2577
37062 4915 2702
40769 5144 2802
44846 5417 2914
49331 5767 3070
54265 6044 3167
59692 6393 3319
65662 6666 3390
72229 7057 3565
79452 7553 3783
87398 7959 3908
96138 8460 4094
105752 8956 4264
116328 9351 4386
127961 9771 4522
128963 9822 4547
