1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 10 9
12 11 10
14 13 12
16 15 14
18 16 15
20 18 17
22 20 19
25 22 20
28 25 23
31 27 24
35 30 27
39 33 29
43 37 33
48 40 34
52 44 38
58 47 39
64 47 34
71 52 38
79 57 43
87 61 43
96 66 46
106 72 51
117 77 55
129 84 62
142 91 68
154 101 77
170 109 81
188 118 86
206 130 95
227 141 102
250 150 108
275 157 106
303 171 116
334 188 132
368 204 144
405 221 157
446 238 173
491 262 192
541 285 208
596 310 228
651 341 256
717 366 269
789 390 285
868 416 305
955 446 325
1051 475 342
1157 512 364
1273 551 392
1401 595 417
1542 645 449
1697 688 480
1867 738 517
2054 790 545
2260 842 573
2486 905 609
2735 956 626
3009 1010 654
3310 1084 704
3642 1147 736
4007 1232 791
4408 1327 859
4849 1413 915
5334 1505 975
5868 1606 1036
6455 1719 1106
7101 1853 1186
7812 2008 1283
8594 2167 1381
9454 2321 1467
10400 2472 1544
11441 2615 1610
12586 2743 1651
13845 2904 1739
15230 3050 1786
16753 3196 1851
18429 3341 1908
20272 3542 2008
22300 3709 2076
24531 3862 2140
26985 4069 2221
29684 4247 2290
32653 4450 2394
35919 4646 2482
39511 4829 2541
43463 5175 2676
47810 5389 2729
52592 5681 2870
57852 5918 2956
63638 6284 3084
70002 6678 3237
77003 7019 3313
84704 7367 3404
93175 7683 3489
102493 8085 3617
112743 8486 3728
124018 8887 3859
136420 9305 3973
150062 9695 4074
159710 9928 4129
